Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
SIN IDENTIFICACION,9000500360,"Activa, constitución por traslado",ASOCIACION DE PADRES DE FAMILIA DE LA CONCENTRACION ESCOLAR URBANA MIXTA JOHN F. KENNEDY EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Cooperativas, federaciones y confederaciones, instituciones auxiliares de la economía solidaria y precooperativas.",Sur y oriente del tolima,1998/11/10,2000/06/27,,1997,1997/09/15,2018/09/23,NORMAL,,
NIT 900232999 - 2,9000501818,Activa,ASOCIACION DE PADRES DE FAMILIA DE LA INSTITUCION EDUCATIVA JOHN F. KENNEDY EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Cooperativas, federaciones y confederaciones, instituciones auxiliares de la economía solidaria y precooperativas.",Sur y oriente del tolima,2008/07/31,2018/03/30,,2015,2015/03/30,2021/12/14,NORMAL,,
NIT 900224904 - 1,34736,Activa,O & F INGENIERIA E.U. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Empresas unipersonales,Putumayo,2008/06/20,2018/06/18,,2009,2009/04/02,2022/05/19,NORMAL,,
NIT 901166377 - 2,66202,Activa,F&L INGENIERIA S.A.S. ZOMAC EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Putumayo,2018/03/21,Indefinido,,2020,2020/04/13,2024/04/02,NORMAL,,
NIT 901061617 - 3,9000003852,Activa,FEDERACION DE ORGANIZACIONES COMUNITARIAS PARA LA PAZ Y EL POSTCONFLICTO UN MILLON DE AMIGOS COLOMBIA NO MAS GUERRA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Las demás organizaciones civiles,corporaciones,fundaciones",Putumayo,2016/12/26,2116/11/22,,2016,2016/12/26,2021/12/14,NORMAL,,
NIT 901336131 - 8,9000004299,Activa,ASOCIACION UNIDOS CONSTRUYENDO FUTURO,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,"Asociaciones, corporaciones, fundaciones e instituciones de utilidad común (gremiales, de beneficencia; profesionales, juveniles, sociales, democráticas y participativas, cívicas y comunitarias, de egresados, de rehabilitación social y ayuda a indigentes y clubes sociales).",Putumayo,2019/10/25,2029/10/25,,2024,2024/03/06,2024/03/06,NORMAL,N,
NIT 901398527 - 6,9000004441,Activa,AMAZONICAL BREEDING FOUNDATION,Sociedad ó persona juridica principal ó esal,Entidad sin animo de lucro,Fundaciones,Putumayo,2020/07/20,Indefinido,,2023,2023/02/21,2023/02/21,NORMAL,,
SIN IDENTIFICACION,17,Activa,B Y F INDUSTRIALES LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Empresas asociativas de trabajo,Facatativa,1984/08/20,Indefinido,,1984,1984/08/20,2023/02/21,NORMAL,,
NIT 605243890 - 6,4970,Activa,CASTRO Y FONSECA Y CIA. LTDA. C Y F LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,1990/02/14,1990/02/14,,1990,1990/02/14,2023/01/16,NORMAL,,
NIT 832008488 - 5,29181,Activa,C.I. INVERSIONES F Y G LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2003/02/14,2018/02/10,,2008,2009/01/22,2020/11/12,NORMAL,,
NIT 832011506 - 0,36742,Activa,FASDECOL F Y S LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2004/09/13,2024/09/08,,0,,2020/11/13,NORMAL,,
NIT 900027719 - 9,39560,Activa,F Y M SERVITEMPORALES DE COLOMBIA LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2005/05/31,2025/05/18,,2007,2007/02/15,2020/11/12,NORMAL,,
NIT 900056762 - 1,42680,Activa,FLORES Y BOUQUETS DE AMERICA LTDA C.I. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2005/11/22,2020/10/20,,2007,2007/08/17,2020/11/12,NORMAL,,
NIT 900270230 - 1,59771,Activa,PUBLICHANO F.A. LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2009/03/02,2029/02/02,,2010,2010/07/27,2020/11/12,NORMAL,,
NIT 900446960 - 5,71234,Activa,CONSTRUCTORA F. BOHORQUEZ S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Facatativa,2011/06/30,Indefinido,,2019,2019/10/07,2024/04/30,NORMAL,,
NIT 900513420 - 7,74820,Activa,FLORES Y VEGETALES DE COLOMBIA S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Facatativa,2012/03/27,Indefinido,,2012,2012/03/27,2022/08/02,NORMAL,,
NIT 900528344 - 0,76558,Activa,F&H INGENIERIA LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Facatativa,2012/06/02,Indefinido,,2012,2012/06/02,2022/10/07,NORMAL,,
NIT 900734553 - 6,88540,Activa,INDUSTRIAS S & F SAS EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Facatativa,2014/05/23,Indefinido,,2014,2014/05/23,2022/10/20,NORMAL,,
NIT 901018105 - 2,104726,Activa,F.A.N. CONSTRUCCIONES CIVILES CIA SAS EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Facatativa,2016/10/07,Indefinido,,2017,2017/11/29,2023/02/08,NORMAL,,
NIT 900578816 - 9,80844,Activa,F&G INGENIERIA E INTERVENTORIA S.AS.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Oriente antioqueno,2012/12/18,Indefinido,,2023,2023/08/11,2023/08/11,NORMAL,N,
NIT 901013501 - 3,100705,Activa,CONSTRUCCIONES J Y F S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Oriente antioqueno,2016/09/28,Indefinido,,2024,2024/07/10,2024/07/10,NORMAL,N,
NIT 901323377 - 6,123440,Activa,J & F SOLUCIONES AGROCIVILES S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Oriente antioqueno,2019/09/18,Indefinido,,2019,2019/09/18,2024/04/26,NORMAL,,
NIT 900081231 - 6,36347,Activa,INVERSIONES TRES F LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Magdalena medio,2006/04/25,2016/04/03,,0,,2020/11/16,NORMAL,,
NIT 900651232 - 1,50879,Activa,INVERSIONES F H T S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Magdalena medio,2013/09/03,Indefinido,,2024,2024/04/01,2024/04/01,NORMAL,S,
NIT 900885420 - 2,55900,Activa,INVERSIONES F D O SAS EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Magdalena medio,2015/09/07,Indefinido,,2015,2015/09/07,2020/07/30,,,
